placa;anno_permiso;Tipo_pago;CodSII;fecha_emision;fecha_pago;MONTO_PAGADO;REAJUSTE;MULTA;PERMISO_ANTERIOR;ELECTRONICO_PAPEL;FECHA_VENCIMIENTO;SEXO
TTVK25;2024;TOTAL;;04/11/2024;04/11/2024;46398;0;0;RENCA;PAPEL;31/03/2025;H
TTVK44;2024;TOTAL;;06/11/2024;06/11/2024;66637;0;0;VALDIVIA;PAPEL;31/03/2025;H
TTVK45;2024;TOTAL;;06/11/2024;06/11/2024;63415;0;0;MAFIL;PAPEL;31/03/2025;H
TTVK46;2024;TOTAL;;06/11/2024;06/11/2024;111854;0;0;SAN JOSE;PAPEL;31/03/2025;H
TTVK62;2024;TOTAL;;07/11/2024;07/11/2024;38325;0;0;VILLARRICA;PAPEL;31/03/2025;H
TTVK84;2024;TOTAL;;11/11/2024;11/11/2024;24167;0;0;VIÑA;PAPEL;31/03/2025;H
TTVK91;2024;TOTAL;;08/11/2024;08/11/2024;31272;0;0;COQUIMBO;PAPEL;31/03/2025;H
TTVK96;2024;TOTAL;;12/11/2024;12/11/2024;90274;0;0;VALPARAISO;PAPEL;31/03/2025;M
TTVK97;2024;TOTAL;;12/11/2024;12/11/2024;34671;0;0;MAIPU;PAPEL;31/03/2025;M
TTVL11;2024;TOTAL;;08/11/2024;08/11/2024;58290;0;0;RENCA;PAPEL;31/03/2025;H
TTVL12;2024;TOTAL;;12/11/2024;12/11/2024;86838;0;0;VALDIVIA;PAPEL;31/03/2025;M
TTVL21;2024;TOTAL;;12/11/2024;12/11/2024;54724;0;0;MAFIL;PAPEL;31/03/2025;H
TTVL28;2024;TOTAL;;12/11/2024;12/11/2024;91166;0;0;SAN JOSE;PAPEL;31/03/2025;M
TTVL37;2024;TOTAL;;12/11/2024;12/11/2024;45596;0;0;VILLARRICA;PAPEL;31/03/2025;H
TTVL43;2024;TOTAL;;13/11/2024;13/11/2024;23327;0;0;VIÑA;PAPEL;31/03/2025;M
TTVL45;2024;TOTAL;;13/11/2024;13/11/2024;41791;0;0;COQUIMBO;PAPEL;31/03/2025;H
TTVL53;2024;TOTAL;;14/11/2024;14/11/2024;94177;0;0;VALPARAISO;PAPEL;31/03/2025;M
TTVL54;2024;TOTAL;;14/11/2024;14/11/2024;23836;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTVL69;2024;TOTAL;;14/11/2024;15/11/2024;116696;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTVL85;2024;TOTAL;;14/11/2024;15/11/2024;44504;0;0;MAFIL;PAPEL;31/03/2025;H
TTVP27;2024;TOTAL;;19/11/2024;19/11/2024;114409;0;0;SAN JOSE;PAPEL;31/03/2025;H
TTVP28;2024;TOTAL;;19/11/2024;19/11/2024;46391;0;0;VILLARRICA;PAPEL;31/03/2025;H
TTVP32;2024;TOTAL;;19/11/2024;19/11/2024;23206;0;0;VIÑA;PAPEL;31/03/2025;H
TTVP40;2024;TOTAL;;19/11/2024;19/11/2024;23378;0;0;COQUIMBO;PAPEL;31/03/2025;H
TTVP42;2024;TOTAL;;19/11/2024;19/11/2024;56189;0;0;VALPARAISO;PAPEL;31/03/2025;H
TTVP48;2024;TOTAL;;19/11/2024;19/11/2024;18972;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTVP50;2024;TOTAL;;19/11/2024;19/11/2024;24895;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTVP52;2024;TOTAL;;19/11/2024;19/11/2024;31083;0;0;MAFIL;PAPEL;31/03/2025;H
TTVP53;2024;TOTAL;;15/11/2024;18/11/2024;45265;0;0;SAN JOSE;PAPEL;31/03/2025;H
TTVP54;2024;TOTAL;;20/11/2024;20/11/2024;92560;0;0;VILLARRICA;PAPEL;31/03/2025;M
TTVP58;2024;TOTAL;;20/11/2024;20/11/2024;81236;0;0;VIÑA;PAPEL;31/03/2025;M
TTVP65;2024;TOTAL;;20/11/2024;20/11/2024;88638;0;0;COQUIMBO;PAPEL;31/03/2025;H
TTVP68;2024;TOTAL;;20/11/2024;20/11/2024;28458;0;0;VALPARAISO;PAPEL;31/03/2025;M
TTVP72;2024;TOTAL;;20/11/2024;20/11/2024;15667;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTVP90;2024;TOTAL;;21/11/2024;21/11/2024;142282;0;0;SANTIAGO;PAPEL;31/03/2025;M
TTVP92;2024;TOTAL;;21/11/2024;21/11/2024;110095;0;0;MAFIL;PAPEL;31/03/2025;H
TTVP93;2024;TOTAL;;21/11/2024;21/11/2024;161027;0;0;SAN JOSE;PAPEL;31/03/2025;M
TTVR11;2024;TOTAL;;21/11/2024;21/11/2024;38122;0;0;VILLARRICA;PAPEL;31/03/2025;H
TTVR14;2024;TOTAL;;21/11/2024;21/11/2024;31636;0;0;VIÑA;PAPEL;31/03/2025;M
TTVR18;2024;TOTAL;;21/11/2024;21/11/2024;31636;0;0;COQUIMBO;PAPEL;31/03/2025;H
TTVR21;2024;TOTAL;;21/11/2024;21/11/2024;47276;0;0;VALPARAISO;PAPEL;31/03/2025;H
TTVR30;2024;TOTAL;;22/11/2024;22/11/2024;60876;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTVR31;2024;TOTAL;;21/11/2024;21/11/2024;48517;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTVR44;2024;TOTAL;;25/11/2024;25/11/2024;37463;0;0;MAFIL;PAPEL;31/03/2025;H
TTVR48;2024;TOTAL;;22/11/2024;22/11/2024;52570;0;0;SAN JOSE;PAPEL;31/03/2025;H
TTVR57;2024;TOTAL;;25/11/2024;25/11/2024;41268;0;0;VILLARRICA;PAPEL;31/03/2025;H
TTVR58;2024;TOTAL;;22/11/2024;22/11/2024;149077;0;0;VIÑA;PAPEL;31/03/2025;H
TTVR67;2024;TOTAL;;26/11/2024;26/11/2024;0;0;0;COQUIMBO;PAPEL;31/03/2025;H
TTVR68;2024;TOTAL;;22/11/2024;22/11/2024;58453;0;0;VALPARAISO;PAPEL;31/03/2025;H
TTVR70;2024;TOTAL;;26/11/2024;26/11/2024;0;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTVR75;2024;TOTAL;;26/11/2024;26/11/2024;0;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTVR76;2024;TOTAL;;26/11/2024;26/11/2024;44705;0;0;VILLARRICA;PAPEL;31/03/2025;M
TTVR78;2024;TOTAL;;25/11/2024;25/11/2024;0;0;0;VIÑA;PAPEL;31/03/2025;M
TTVR81;2024;TOTAL;;26/11/2024;26/11/2024;75634;0;0;COQUIMBO;PAPEL;31/03/2025;H
TTVR88;2024;TOTAL;;25/11/2024;25/11/2024;37400;0;0;VALPARAISO;PAPEL;31/03/2025;M
TTVR92;2024;TOTAL;;26/11/2024;26/11/2024;65841;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTVR94;2024;TOTAL;;26/11/2024;26/11/2024;22156;0;0;SANTIAGO;PAPEL;31/03/2025;M
TTVR96;2024;TOTAL;;26/11/2024;26/11/2024;24033;0;0;SANTIAGO;PAPEL;31/03/2025;H
TTVR99;2024;TOTAL;;26/11/2024;26/11/2024;0;0;0;SANTIAGO;PAPEL;31/03/2025;M
TV3161;2023;TOTAL;SU1320013;21/11/2024;21/11/2024;42840;2069;9886;VILLARRICA;PAPEL;31/03/2024;H
TV3161;2024;TOTAL;SU1320013;21/11/2024;21/11/2024;37227;905;3989;VILLARRICA;PAPEL;31/03/2025;M
TVRP55;2024;TOTAL;;26/11/2024;26/11/2024;52541;0;0;VIÑA;PAPEL;31/03/2025;H
TVRP56;2024;TOTAL;;27/11/2024;27/11/2024;54474;0;0;COQUIMBO;PAPEL;31/03/2025;H
TVRP58;2024;TOTAL;;26/11/2024;26/11/2024;52828;0;0;VALPARAISO;PAPEL;31/03/2025;H
TVRP59;2024;TOTAL;;26/11/2024;26/11/2024;100844;0;0;SANTIAGO;PAPEL;31/03/2025;H
TVRP60;2024;TOTAL;;26/11/2024;26/11/2024;119387;0;0;SANTIAGO;PAPEL;31/03/2025;H
TVRP65;2024;TOTAL;;27/11/2024;27/11/2024;20934;0;0;SANTIAGO;PAPEL;31/03/2025;H
TVRP67;2024;TOTAL;;27/11/2024;27/11/2024;55702;0;0;VILLARRICA;PAPEL;31/03/2025;H
TVRP75;2024;TOTAL;;27/11/2024;27/11/2024;25097;0;0;VIÑA;PAPEL;31/03/2025;H
TVRR11;2024;TOTAL;;27/11/2024;27/11/2024;54348;0;0;COQUIMBO;PAPEL;31/03/2025;H
TVRR28;2024;TOTAL;;28/11/2024;28/11/2024;0;0;0;VALPARAISO;PAPEL;31/03/2025;H
TVRR55;2024;TOTAL;;29/11/2024;29/11/2024;32391;0;0;SANTIAGO;PAPEL;31/03/2025;H
TVRR59;2024;TOTAL;;29/11/2024;29/11/2024;32660;0;0;SANTIAGO;PAPEL;31/03/2025;H
TVRR64;2024;TOTAL;;29/11/2024;29/11/2024;25860;0;0;SANTIAGO;PAPEL;31/03/2025;M
TVRR67;2024;TOTAL;;29/11/2024;29/11/2024;25860;0;0;SANTIAGO;PAPEL;31/03/2025;M
TVRR74;2024;TOTAL;;29/11/2024;29/11/2024;34343;0;0;VILLARRICA;PAPEL;31/03/2025;H
TVRR94;2024;TOTAL;;29/11/2024;29/11/2024;56189;0;0;VILLARRICA;PAPEL;31/03/2025;M
TVRR97;2024;TOTAL;;29/11/2024;29/11/2024;120452;0;0;VIÑA;PAPEL;31/03/2025;H
TVRR98;2024;TOTAL;;29/11/2024;29/11/2024;112168;0;0;COQUIMBO;PAPEL;31/03/2025;M
TVRR99;2024;TOTAL;;29/11/2024;29/11/2024;43051;0;0;VALPARAISO;PAPEL;31/03/2025;H
TX2513;2024;TOTAL;CT500113;06/02/2024;13/11/2024;37227;905;3989;SANTIAGO;ELECTRONICO;31/03/2025;M
VJ2678;2024;TOTAL;;13/11/2024;13/11/2024;34070;99;992;SANTIAGO;PAPEL;30/09/2025;H
VJ2858;2023;TOTAL;CT500156;11/11/2024;11/11/2024;42840;2069;9886;SANTIAGO;PAPEL;31/03/2024;M
VJ2858;2024;TOTAL;CT500156;11/11/2024;11/11/2024;37227;905;3989;VILLARRICA;PAPEL;31/03/2025;H
WY3851;2024;2a Cuota;HB1320017;02/08/2024;05/11/2024;17370;181;748;VIÑA;ELECTRONICO;31/03/2025;H
WY5328;2023;TOTAL;HB500069;26/11/2024;26/11/2024;42840;2069;9886;COQUIMBO;PAPEL;31/03/2024;H
WY5328;2024;TOTAL;HB500069;26/11/2024;26/11/2024;37227;905;3989;VALPARAISO;PAPEL;31/03/2025;H
XA4159;2024;TOTAL;HB500038;06/02/2024;27/11/2024;37227;905;3989;SANTIAGO;ELECTRONICO;31/03/2025;H
XB3467;2024;TOTAL;;21/11/2024;21/11/2024;34075;99;992;SANTIAGO;PAPEL;30/09/2025;H
YC2779;2019;TOTAL;A65016;25/11/2024;25/11/2024;67250;9115;33958;SANTIAGO;ELECTRONICO;31/03/2020;H
YC2779;2020;TOTAL;SD500198;25/11/2024;25/11/2024;58894;7973;26084;SANTIAGO;ELECTRONICO;31/03/2021;H
YC2779;2021;TOTAL;SD500198;25/11/2024;25/11/2024;54624;7417;21718;VILLARRICA;ELECTRONICO;31/03/2022;H
YC2779;2022;TOTAL;SD500198;25/11/2024;25/11/2024;48264;5390;15653;VILLARRICA;ELECTRONICO;31/03/2023;H
YC2779;2023;TOTAL;SD500198;25/11/2024;25/11/2024;42840;2069;9886;VIÑA;ELECTRONICO;31/03/2024;H
YC2779;2024;TOTAL;SD500198;25/11/2024;25/11/2024;37227;905;3989;COQUIMBO;ELECTRONICO;31/03/2025;H
YE3958;2024;TOTAL;;21/11/2024;21/11/2024;34075;99;992;VALPARAISO;PAPEL;30/09/2025;M
YOG218;2024;TOTAL;;06/02/2024;20/11/2024;37227;905;3989;SANTIAGO;ELECTRONICO;31/03/2025;M
YOG723;2024;TOTAL;;14/11/2024;14/11/2024;8295;0;0;SANTIAGO;PAPEL;31/03/2025;H
YOG728;2024;TOTAL;;15/11/2024;15/11/2024;5530;0;0;SANTIAGO;PAPEL;31/03/2025;H
YOG729;2024;TOTAL;;26/11/2024;26/11/2024;5530;0;0;VILLARRICA;PAPEL;31/03/2025;H
YOG731;2024;TOTAL;;28/11/2024;28/11/2024;5530;0;0;VIÑA;PAPEL;31/03/2025;H
YS9143;2024;2a Cuota;;04/10/2024;21/11/2024;100736;99;1489;COQUIMBO;ELECTRONICO;30/09/2025;H
YY3388;2024;TOTAL;;25/09/2024;15/11/2024;102225;297;2977;VALPARAISO;ELECTRONICO;30/09/2025;H
ZA0117;2024;TOTAL;MT1730040;06/02/2024;14/11/2024;37227;905;3989;SANTIAGO;PAPEL;31/03/2025;M
ZN1879;2023;TOTAL;CT2250009;22/11/2024;22/11/2024;42840;2069;9886;SANTIAGO;PAPEL;31/03/2024;M
ZN1879;2024;TOTAL;CT2250009;22/11/2024;22/11/2024;37227;905;3989;SANTIAGO;PAPEL;31/03/2025;H
