placa;anno_permiso;Tipo_pago;CodSII;fecha_emision;fecha_pago;MONTO_PAGADO;REAJUSTE;MULTA;PERMISO_ANTERIOR;ELECTRONICO_PAPEL;FECHA_VENCIMIENTO;SEXO
DWBP33;2024;2a Cuota;;04/10/2024;04/11/2024;99150;0;0;PUERTO MONTT;PAPEL;30/09/2025;H
DZVV13;2024;2a Cuota;HB2290102;02/08/2024;22/11/2024;21880;228;942;SANTIAGO;PAPEL;31/03/2025;M
FDDW45;2024;2a Cuota;SD2070067;02/08/2024;04/11/2024;17370;181;748;PUERTO MONTT;PAPEL;31/03/2025;H
FFCP20;2024;TOTAL;;29/11/2024;29/11/2024;34075;99;992;PUERTO MONTT;PAPEL;30/09/2025;M
FHBY60;2024;2a Cuota;CT2430026;02/08/2024;19/11/2024;72018;750;3101;MAIPU;PAPEL;31/03/2025;H
FHST94;2024;2a Cuota;CT2680006;02/08/2024;28/11/2024;17370;181;748;RENCA;PAPEL;31/03/2025;M
FJBK88;2024;TOTAL;;29/11/2024;29/11/2024;102225;297;2977;VALDIVIA;PAPEL;30/09/2025;H
FTFS19;2024;2a Cuota;SD500283;02/08/2024;06/11/2024;17370;181;748;MAFIL;PAPEL;31/03/2025;M
FTZJ56;2024;TOTAL;;04/11/2024;04/11/2024;34075;99;992;SAN JOSE;PAPEL;30/09/2025;H
FXPY40;2024;2a Cuota;SU1410059;02/08/2024;11/11/2024;112129;1167;4829;VILLARRICA;ELECTRONICO;31/03/2025;M
GCZG54;2024;2a Cuota;HB490006;02/08/2024;15/11/2024;17370;181;748;VIÑA;PAPEL;31/03/2025;H
GRGL60;2024;2a Cuota;;04/10/2024;27/11/2024;100736;99;1489;COQUIMBO;PAPEL;30/09/2025;M
GSTP36;2024;TOTAL;CT1660059;06/02/2024;17/11/2024;144073;3504;15436;VALPARAISO;ELECTRONICO;31/03/2025;H
GTTX24;2024;TOTAL;;28/11/2024;28/11/2024;34075;99;992;MAIPU;PAPEL;30/09/2025;M
HBJS51;2023;TOTAL;;08/11/2024;08/11/2024;160760;6206;27900;RENCA;PAPEL;30/09/2024;H
HBJS51;2024;TOTAL;;08/11/2024;08/11/2024;136300;396;3970;VALDIVIA;PAPEL;30/09/2025;M
HBWD66;2024;2a Cuota;CT1760324;02/08/2024;13/11/2024;128551;1338;5536;MAFIL;ELECTRONICO;31/03/2025;H
HFVD18;2024;2a Cuota;;04/10/2024;25/11/2024;100740;99;1489;SAN JOSE;PAPEL;30/09/2025;M
HGLH27;2024;TOTAL;;27/11/2024;27/11/2024;33180;0;0;VILLARRICA;PAPEL;30/09/2025;H
HLFY82;2024;TOTAL;;25/09/2024;14/11/2024;136300;396;3970;VIÑA;ELECTRONICO;30/09/2025;M
HR9824;2024;2a Cuota;;04/10/2024;15/11/2024;67157;66;992;COQUIMBO;PAPEL;30/09/2025;M
HTHB52;2024;2a Cuota;CT1760326;02/08/2024;21/11/2024;90780;945;3909;VALPARAISO;ELECTRONICO;31/03/2025;H
HVJT53;2024;2a Cuota;SU1760232;02/08/2024;29/11/2024;76056;792;3275;MAIPU;ELECTRONICO;31/03/2025;H
HXPR98;2024;2a Cuota;VN1600020;02/08/2024;05/11/2024;17370;181;748;RENCA;ELECTRONICO;31/03/2025;M
HZXP10;2024;TOTAL;;25/09/2024;15/11/2024;34075;99;992;VALDIVIA;ELECTRONICO;30/09/2025;M
JA8933;2024;TOTAL;;12/11/2024;12/11/2024;136300;396;3970;MAFIL;PAPEL;30/09/2025;M
JA9024;2023;TOTAL;;22/02/2024;26/11/2024;241137;9309;41850;SAN JOSE;PAPEL;30/09/2024;M
JA9024;2024;TOTAL;;26/11/2024;26/11/2024;204450;594;5955;VILLARRICA;PAPEL;30/09/2025;H
JA9266;2024;2a Cuota;;04/10/2024;01/11/2024;99148;0;0;VIÑA;ELECTRONICO;30/09/2025;H
JBWF95;2024;TOTAL;;13/11/2024;13/11/2024;34070;99;992;COQUIMBO;PAPEL;30/09/2025;M
JCLV76;2024;2a Cuota;SU1410129;02/08/2024;22/11/2024;223652;2329;9631;VALPARAISO;ELECTRONICO;31/03/2025;H
JDT037;2024;TOTAL;;06/02/2024;05/11/2024;37227;905;3989;MAIPU;PAPEL;31/03/2025;M
JH5647;2021;TOTAL;;08/11/2024;08/11/2024;310540;41312;112743;RENCA;PAPEL;30/09/2022;H
JH5647;2022;TOTAL;;08/11/2024;08/11/2024;271313;20445;76124;VALDIVIA;PAPEL;30/09/2023;M
JH5647;2023;TOTAL;;08/11/2024;08/11/2024;241137;9309;41850;MAFIL;PAPEL;30/09/2024;H
JH5647;2024;TOTAL;;08/11/2024;08/11/2024;204450;594;5955;SAN JOSE;PAPEL;30/09/2025;M
JLFK62;2024;2a Cuota;VN1760070;02/08/2024;29/11/2024;113298;1180;4879;VILLARRICA;PAPEL;31/03/2025;H
JLHY26;2024;TOTAL;;08/11/2024;08/11/2024;136300;396;3970;VIÑA;ELECTRONICO;30/09/2025;M
JP3426;2024;2a Cuota;;04/10/2024;25/11/2024;67160;66;992;COQUIMBO;PAPEL;30/09/2025;H
JP4247;2024;TOTAL;;26/11/2024;26/11/2024;204450;594;5955;VALPARAISO;PAPEL;30/09/2025;M
JPBY61;2024;TOTAL;HB500136;11/11/2024;11/11/2024;60809;1479;6515;MAIPU;PAPEL;31/03/2025;H
JRXY66;2024;2a Cuota;SU2270490;02/08/2024;06/11/2024;110509;1151;4759;RENCA;PAPEL;31/03/2025;M
JRZZ38;2024;TOTAL;SD500221;06/02/2024;08/11/2024;37227;905;3989;VALDIVIA;PAPEL;31/03/2025;H
JTYD37;2024;2a Cuota;;04/10/2024;18/11/2024;100736;99;1489;MAFIL;PAPEL;30/09/2025;M
JWLH19;2024;2a Cuota;;04/10/2024;25/11/2024;100740;99;1489;SAN JOSE;PAPEL;30/09/2025;H
JZWR28;2024;2a Cuota;HB2430248;02/08/2024;21/11/2024;31044;323;1337;VILLARRICA;ELECTRONICO;31/03/2025;M
KBDH41;2024;2a Cuota;HB1640001;02/08/2024;01/11/2024;45933;478;1978;VIÑA;ELECTRONICO;31/03/2025;H
KE9689;2023;TOTAL;;12/11/2024;12/11/2024;241140;9309;41850;COQUIMBO;PAPEL;30/09/2024;M
KE9689;2024;TOTAL;;12/11/2024;12/11/2024;204450;594;5955;VALPARAISO;PAPEL;30/09/2025;H
KHSK86;2024;TOTAL;;26/11/2024;26/11/2024;5530;0;0;SANTIAGO;PAPEL;30/09/2025;M
KJ3521;2024;TOTAL;CT500037;05/11/2024;05/11/2024;37227;905;3989;SANTIAGO;PAPEL;31/03/2025;H
KK2408;2024;TOTAL;;08/11/2024;08/11/2024;136300;396;3970;MAFIL;PAPEL;30/09/2025;H
KKRS69;2024;2a Cuota;SU650012;02/08/2024;08/11/2024;47927;499;2064;SAN JOSE;ELECTRONICO;31/03/2025;M
KVPP30;2024;2a Cuota;CT1760324;02/08/2024;30/11/2024;220910;2300;9513;VILLARRICA;ELECTRONICO;31/03/2025;M
KYYT34;2024;TOTAL;CO1170016;19/11/2024;19/11/2024;202600;4927;21707;VIÑA;PAPEL;31/03/2025;M
LCDD39;2024;2a Cuota;CT5430015;02/08/2024;12/11/2024;74220;773;3196;COQUIMBO;ELECTRONICO;31/03/2025;M
LCDF36;2024;2a Cuota;SU470037;02/08/2024;01/11/2024;60331;628;2598;VALPARAISO;ELECTRONICO;31/03/2025;H
